12344334343434;34344;34369804504806954845845090685458690569844589
12344334343434;343888478674878478784758547484784578474438974384893734798434874974957489348789444;34369804504806954845845090685458690569844589
1234433438658945869897089768970685478907867869906480836894993849586594896835483458093458694534568904569833965485045898569054389043434;34344;34369804504806954845845090685458690569844589
1234;1234;2468
1234;1234;2468
1234;1234;2468
1234;1234;2468
12344334343434;34344;34369804504806954845845090685458690569844589
1234;1234;2468
1234;1234;2468
12344334343434;34344;34369804504806954845845090685458690569844589
12344334343434;34344;34369804504806954845845090685458690569844589
12344334343434;34344;34369804504806954845845090685458690569844589
1234;1234;2468
1234;1234;2468
12344334343434;34344;34369804504806954845845090685458690569844589
1234;1234;2468
12344334343434;34344;34369804504806954845845090685458690569844589
12344334343434;34344;34369804504806954845845090685458690569844589
1;1;2
